time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.011585000000000002,0.01392,0.012893000000000002,0.012896000000000001,0.0004406959863454081,21.0,0.20415999999999998,0.207488,0.20583735,0.206002,0.0008565412584925528,20.0,0.015744,0.06720000000000001,0.0414345,0.041232000000000005,0.024684386390996235,40,0.06751800000000001,0.06880000000000001,0.0680913,0.0680945,0.0003342134198382831,20,0.044128,0.044704,0.0443616,0.0443365,0.00016069113230044702,20,0.206527,0.20889899999999997,0.20763485000000004,0.20768150000000002,0.000628074937805987,20.0,0.466657,0.468673,0.4678637,0.467873,0.0005125780038199079,20,0.090176,0.091712,0.0911266,0.0912165,0.0004224100377595207,20,0.21712,0.219105,0.2178423,0.2178885,0.0005226350638830095,20,0.12252800000000001,0.12380800000000002,0.12309955000000002,0.1231045,0.000358110244896737,20,0.021568,0.022785,0.02193285,0.021888,0.00030260424236946764,20,0.05939200000000001,0.059936,0.05966570000000001,0.0596165,0.00015586792485947757,20,16,16,2048,10944,102400,True,False,False,4096,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.011616,0.013408,0.01257295238095238,0.012480000000000002,0.00041207690870128494,21.0,0.203039,0.207169,0.20497485000000001,0.20478400000000002,0.0010547059910230871,20.0,0.016672,0.067616,0.041816874999999996,0.04166449999999999,0.024861970875402758,40,0.06742700000000003,0.06908999999999998,0.06815170000000001,0.06804850000000001,0.0005288423300001619,20,0.044128,0.045312,0.04458730000000001,0.044528,0.0003425557034994453,20,0.20556699999999997,0.20854499999999998,0.2069493,0.20699399999999996,0.0009313351759705037,20.0,0.451745,0.456354,0.4533967,0.4526255,0.0014472803494831152,20,0.08912,0.090912,0.0902112,0.09027199999999999,0.0005210107100626642,20,0.21715299999999998,0.220705,0.21871614999999997,0.218305,0.0010591478308055028,20,0.12230400000000001,0.124256,0.12333445000000001,0.123296,0.00044676979251063916,20,0.021312,0.022432,0.021744000000000003,0.0216,0.00036716426841401563,20,0.059488,0.060544,0.059880199999999995,0.0598085,0.00029427089560471286,20,16,16,2048,10944,102400,True,False,False,4064,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.010816000000000001,0.013664,0.012652,0.01264,0.0005102374797232027,21.0,0.202114,0.20492900000000003,0.20367264999999998,0.2037775,0.0007682408655493399,20.0,0.016736,0.068544,0.04211855,0.0419685,0.02498945855550896,40,0.06780800000000001,0.06899300000000001,0.0684615,0.06846549999999998,0.00034502746267507466,20,0.044416,0.044961,0.044747350000000005,0.044784,0.00014149850705926298,20,0.203968,0.206913,0.20538970000000006,0.2054245,0.000601069139117953,20.0,0.459745,0.462337,0.46113885000000004,0.4611055,0.0006961368597481383,20,0.08822400000000001,0.089792,0.08916189999999999,0.08921599999999999,0.0004106364450459786,20,0.21824100000000002,0.219841,0.21893820000000003,0.21880100000000002,0.0005149747178260332,20,0.11801600000000001,0.119424,0.11857314999999999,0.118576,0.0003256406416588672,20,0.021056000000000002,0.022432,0.021432,0.021296000000000002,0.00041610767837183644,20,0.05964800000000001,0.060384,0.060028950000000005,0.06,0.00014525166952568692,20,16,16,2048,10944,102400,True,False,False,4032,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.010784,0.013408,0.012513523809523808,0.012513,0.0004705946207216507,21.0,0.19971500000000003,0.203169,0.2015128,0.20147500000000002,0.0007261462387150355,20.0,0.016672,0.067777,0.041748125000000004,0.0416315,0.02478524325398835,40,0.06716699999999999,0.068544,0.06778909999999999,0.06769750000000001,0.000351366745723043,20,0.044128,0.04464,0.044302549999999996,0.044272000000000006,0.00014035258280487622,20,0.201278,0.20467300000000002,0.20335925000000002,0.2033595,0.0008587485007264973,20.0,0.457793,0.461921,0.4588316499999999,0.458642,0.0008822154087863108,20,0.08652800000000001,0.08777599999999999,0.087293,0.0873755,0.0003771738326024207,20,0.216513,0.218849,0.21743584999999999,0.21739250000000002,0.0006270076773852105,20,0.11427200000000001,0.115776,0.11515070000000001,0.115152,0.0002950122200858796,20,0.021472,0.022816,0.02175535,0.021616000000000003,0.0003503657053708305,20,0.059264000000000004,0.059969,0.059539449999999994,0.0594885,0.00018292607113257512,20,16,16,2048,10944,102400,True,False,False,4000,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.010464000000000001,0.013023999999999999,0.012321523809523812,0.012223000000000001,0.0005531479281218428,21.0,0.19737600000000002,0.200449,0.19906334999999997,0.19904149999999998,0.0008255313607004838,20.0,0.016512000000000002,0.068416,0.041605725,0.0412,0.024825471132475515,40,0.066176,0.06796799999999999,0.06673475,0.066638,0.0004834567069552338,20,0.043776,0.044736,0.0441345,0.044032,0.0003136307542317861,20,0.19926300000000005,0.20284999999999997,0.20078765,0.20072049999999997,0.0010507472234081666,20.0,0.455681,0.460289,0.4577692,0.457137,0.0014873687370655564,20,0.087232,0.08819199999999999,0.0877602,0.08780850000000001,0.000266095208525068,20,0.215008,0.217921,0.21661015000000003,0.216369,0.0010161806569208068,20,0.118976,0.12073600000000001,0.11989625,0.119856,0.0004850181311043942,20,0.020544,0.02176,0.02122575,0.021424000000000002,0.0004101057028376958,20,0.05888,0.06,0.05931200000000001,0.059328000000000006,0.000253361599300288,20,16,16,2048,10944,102400,True,False,False,3968,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.01072,0.013472,0.012620190476190476,0.012576,0.0005346885714887923,21.0,0.196576,0.19904200000000002,0.19819910000000002,0.19836750000000003,0.0006880510809525744,20.0,0.01712,0.068416,0.042158575000000004,0.042016,0.02479071750059637,40,0.066717,0.06781200000000001,0.06728304999999998,0.0672805,0.00026772177255502067,20,0.04432,0.04512,0.04458895,0.0445285,0.0002073811647667161,20,0.19849400000000003,0.201152,0.20005959999999998,0.20012950000000002,0.0006695657846694321,20.0,0.45766500000000004,0.460865,0.45916579999999996,0.459233,0.0008678319307331299,20,0.084928,0.086336,0.08576494999999999,0.085776,0.00035297768697185297,20,0.217057,0.219169,0.21817340000000002,0.2181285,0.0005371154810652903,20,0.114368,0.11571200000000001,0.11497795,0.1149605,0.00028046202505865387,20,0.020992,0.02208,0.02143045,0.02128,0.0003635977825839973,20,0.059232,0.059808,0.0594595,0.059424,0.0001661542957615008,20,16,16,2048,10944,102400,True,False,False,3936,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.01008,0.012609,0.012152428571428573,0.012256000000000001,0.00048631476887070664,21.0,0.19465600000000002,0.19651400000000002,0.19554755000000001,0.19559900000000002,0.0005269665525439077,20.0,0.016544,0.069696,0.0420234,0.04156800000000001,0.025245733545294344,40,0.065471,0.067711,0.0660785,0.065856,0.000559321508615575,20,0.043616,0.044768999999999996,0.043912150000000004,0.043776,0.0003461944937459277,20,0.195008,0.198623,0.19622925000000002,0.19630499999999998,0.0008166291003264584,20.0,0.459009,0.472034,0.46516625000000006,0.465266,0.0042281174164750975,20,0.08499200000000001,0.086496,0.08572969999999999,0.0857925,0.00044889264863661805,20,0.214976,0.217825,0.21601200000000004,0.2158885,0.0007411002631223387,20,0.11932899999999999,0.123041,0.1216645,0.1216805,0.0009626780614514917,20,0.020224,0.021504000000000002,0.020516750000000004,0.020448,0.00030814020753546623,20,0.05856,0.059457,0.05893155,0.05888,0.0002068945323105476,20,16,16,2048,10944,102400,True,False,False,3904,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.009696,0.013087999999999999,0.01215847619047619,0.012192,0.0006221100514376644,21.0,0.19350399999999998,0.19577599999999995,0.19462,0.19465800000000003,0.0006079116712154785,20.0,0.017088000000000002,0.071424,0.042932975,0.041999999999999996,0.025675873225157797,40,0.06611199999999999,0.06713600000000002,0.06661825,0.0666255,0.0002401697056250049,20,0.044288,0.045056,0.04458245000000001,0.044576500000000005,0.0002083999700095939,20,0.19503999999999996,0.19712,0.19618639999999998,0.196241,0.0005822896530078536,20.0,0.45776100000000003,0.461378,0.45935635,0.4591535,0.0009527732823185193,20,0.083008,0.084544,0.0839873,0.084032,0.0003977481741001448,20,0.216705,0.2184,0.21750935,0.2174565,0.00048406025193151295,20,0.11433600000000001,0.119169,0.11598100000000003,0.115345,0.0014443271097642667,20,0.020800000000000003,0.021665,0.021080050000000003,0.021024,0.00023975518242574007,20,0.058817,0.060096,0.059325,0.059296,0.0002877347737066193,20,16,16,2048,10944,102400,True,False,False,3872,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.009984,0.012928,0.011943571428571427,0.011969,0.0004920804784574488,21.0,0.190944,0.194464,0.19246059999999998,0.192608,0.0009097518562772968,20.0,0.016449000000000002,0.068288,0.0415,0.041264,0.02469097428920131,40,0.06499300000000001,0.066208,0.06571724999999999,0.065824,0.0003899734446087314,20,0.043424,0.04464,0.04390240000000001,0.044048,0.000349643160951275,20,0.19203299999999998,0.195585,0.1936104,0.1937265,0.0010172968789886345,20.0,0.434273,0.437761,0.43604755000000006,0.4360175,0.001097710912535724,20,0.08425700000000001,0.085952,0.08509465,0.085072,0.0004985715871366908,20,0.211009,0.214656,0.2128437,0.2128325,0.0011905418976247777,20,0.108864,0.11017600000000001,0.10955524999999999,0.1095515,0.0003508492375650849,20,0.019552,0.021089,0.019934550000000002,0.01984,0.00033413956290747715,20,0.057952,0.059456,0.0585665,0.058576,0.0004200413670104419,20,16,16,2048,10944,102400,True,False,False,3840,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
0.009856,0.012705000000000001,0.011847809523809524,0.011840999999999999,0.0005120775256640829,21.0,0.190114,0.192832,0.19147745,0.19177849999999996,0.0008497074481843703,20.0,0.016928000000000002,0.06425600000000001,0.040216075000000004,0.0400645,0.022958912165417924,40,0.065504,0.06691099999999998,0.0661852,0.0660145,0.00047710445397208513,20,0.042272,0.043137,0.042661,0.0426565,0.00029214397135659013,20,0.19244799999999995,0.19548700000000002,0.19394920000000002,0.19373,0.0008197990973403289,20.0,0.42556900000000003,0.429442,0.4278155,0.4279855,0.0009687399805933417,20,0.084032,0.085825,0.08509625,0.0851845,0.00042169501716287836,20,0.20864,0.21091200000000002,0.20985485,0.2101125,0.0007574815690827067,20,0.11023999999999999,0.111008,0.11071400000000002,0.11078400000000001,0.00018599677416557598,20,0.019296,0.020384,0.01961445,0.019488,0.00034381528107400904,20,0.056799999999999996,0.057696,0.057224,0.0571835,0.00021998590863962222,20,16,16,2048,10944,102400,True,False,False,3808,1,2048,10944,generic,generic,2816,,KERNEL_ONLY,BF16,none
